fips,rural_urban,no_diploma
27067,4,0.11
27069,9,0.055
27071,6,0.081
27073,9,0.067
27075,6,0.053
27077,9,0.07
27079,1,0.061
27081,9,0.081
27083,7,0.08
27085,6,0.069
27087,8,0.131
27089,8,0.1
27091,7,0.068
27093,6,0.074
27095,1,0.102
27097,6,0.093
27099,4,0.124
27101,9,0.098
27103,3,0.06
27105,7,0.237
27107,8,0.081
27109,3,0.054
27111,6,0.079
27113,6,0.068
27115,6,0.096
27117,6,0.104
27119,3,0.081
27121,8,0.06
27123,1,0.097
27125,8,0.074
27127,7,0.091
27129,8,0.095
27131,4,0.089
27133,6,0.067
27135,7,0.071
27137,2,0.055
27139,1,0.053
27141,1,0.054
27143,1,0.093
27145,3,0.083
27147,5,0.075
27149,7,0.06
27151,7,0.094
27153,6,0.13
27155,9,0.067
27157,3,0.066
27159,7,0.094
27161,6,0.07
27163,1,0.039
27165,6,0.155
27167,6,0.051
27169,4,0.065
27171,1,0.051
27173,9,0.087
28000,,0.155
28001,5,0.221
28003,7,0.187
28005,8,0.181
28007,6,0.224
28009,1,0.274
28011,7,0.222
28013,9,0.225
28015,9,0.198
28017,7,0.246
28019,9,0.195
28021,8,0.197
28023,9,0.171
28025,7,0.183
28027,7,0.205
28029,2,0.198
28031,8,0.168
28033,1,0.096
28035,3,0.126
28037,9,0.154
28039,6,0.157
28041,8,0.238
28043,7,0.192
28045,2,0.125
28047,2,0.117
28049,2,0.125
28051,6,0.232
28053,6,0.301
28055,8,0.395
28057,7,0.209
28059,2,0.113
28061,9,0.158
28063,8,0.22
28065,8,0.176
28067,4,0.159
28069,9,0.179
28071,4,0.096
28073,3,0.106
28075,5,0.155
28077,8,0.183
28079,6,0.214
28081,5,0.164
28083,5,0.184
28085,6,0.137
28087,5,0.14
28089,2,0.083
28091,6,0.185
28093,1,0.179
28095,7,0.19
28097,7,0.221
28099,7,0.197
28101,7,0.148
28103,7,0.291
28105,5,0.093
28107,6,0.194
28109,6,0.162
28111,3,0.17
28113,6,0.168
28115,7,0.235
28117,7,0.199
28119,6,0.287
28121,2,0.105
28123,6,0.26
28125,8,0.225
28127,2,0.203
28129,8,0.208
28131,6,0.178
28133,7,0.251
28135,7,0.305
28137,1,0.17
28139,6,0.201
28141,8,0.196
28143,1,0.165
28145,6,0.219
28147,9,0.183
28149,4,0.129
28151,5,0.212
28153,7,0.207
28155,9,0.151
28157,8,0.252
28159,7,0.183
28161,7,0.167
28163,2,0.211
29000,,0.101
29001,7,0.099
29003,3,0.083
29005,9,0.085
29007,6,0.138
29009,6,0.164
29011,6,0.128
29013,1,0.126
29015,7,0.155
29017,3,0.202
29019,3,0.055
29021,3,0.117
29023,5,0.17
29025,1,0.102
29027,3,0.138
29029,7,0.096
29031,3,0.09
29033,6,0.142
29035,9,0.152
29037,1,0.076
29039,6,0.123
29041,9,0.093
29043,2,0.08
29045,9,0.137
29047,1,0.067
29049,1,0.08
29051,3,0.077
29053,6,0.113
29055,6,0.221
29057,8,0.128
29059,2,0.166
29061,8,0.15
29063,3,0.127
29065,7,0.168
29067,6,0.179
29069,7,0.237
29071,1,0.116
29073,6,0.122
